name,lat,lon
Revolution,51.38501,-2.3615183
The Canary,51.3826217,-2.3618477
The Curfew Inn,51.3900424,-2.3571185
Slug and Lettuce,51.38517287,-2.362056346
The Garricks Head,51.38201063,-2.362660774
The Raven,51.3826217,-2.3618477
The Pulteney Arms,51.38587015,-2.352673712
The Assembly Inn,51.3857983,-2.3619204
Saracens Head,51.38435155,-2.35998027
New Inn,51.3828617,-2.365594847
Alehouse,51.3812608,-2.358277
The Chequers,51.3879331,-2.3642838
Volunteer Riflemans Arms,51.38267472,-2.36058838
The West Gate,51.381538,-2.361262419
Pig & Fiddle,51.3844738,-2.3601015
All Bar One,51.38188656,-2.359384654
Lamb & Lion,51.38001126,-2.360495
Culture & Cure ,51.3884761,-2.3619039
Cosy Club,51.37903675,-2.358080198
Graze Bar, Brewery & Chophouse,51.3774883,-2.3568119
Devonshire Arms,51.3692333,-2.3654974
The Grapes,51.3814334,-2.3614968
St. James Wine Vault,51.3882653,-2.367554025
Star Inn,51.3871152,-2.3599813
The Salamander,51.38343425,-2.362078271
The Porter,51.3847244,-2.3628356
Belushi’s,51.3836937,-2.3604584
The Slug And Lettuce,51.3852571,-2.3609377
The Bath Brew House,51.3810366,-2.3649104
The Cork,51.3806949,-2.3623316
The Boater,51.3831512,-2.3570824
St Christophers Inn,51.3836937,-2.3604584
Circo Bar & Lounge,51.3801536,-2.3569087
Marlborough Tavern,51.38758136,-2.369683114
club XL,51.3874595,-2.3592388
Sub 13,51.38517287,-2.362056346
Central Bar,51.3830983,-2.3596389
Back To Mine,51.38531725,-2.3604623
Gascoyne Place,51.3824068,-2.361809
Common Room,51.38615989,-2.361793362
Flan O’Briens,51.38133209,-2.36165962
The Second Bridge,51.3789327,-2.3571527
Po Na Na,51.3806683,-2.3565983
Zero Zero,51.384999,-2.361218
The Weir Lounge,51.3871585,-2.3525749
Moles,51.3847244,-2.3628356
The Barley,51.3868055,-2.3521925
Ring O Bells,51.3763999,-2.3540716
Lambrettas Bar Bistro,51.3806683,-2.3565983
The Ram At Widcombe,51.3765542,-2.3546397
The Crown Inn,51.3869586,-2.3521468
The Old Green Tree,51.3830553,-2.36047
Joya,51.3826383,-2.3581334
Coeur De Lion,51.3823273,-2.3602477
The Trinity,51.38081959,-2.36315153
King Of Wessex,51.3810366,-2.3649104
